id,season,city,date,match_type,player_of_match,venue,team1,team2,toss_winner,toss_decision,winner,result,result_margin,target_runs,target_overs,super_over,method,umpire1,umpire2
1359517,2023,Lucknow,01-05-2023,League,F du Plessis,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Royal Challengers Bangalore,Lucknow Super Giants,Royal Challengers Bangalore,bat,Royal Challengers Bangalore,runs,18,127,20,N,NA,AK Chaudhary,GR Sadashiv Iyer
1359518,2023,Ahmedabad,02-05-2023,League,Mohammed Shami,"Narendra Modi Stadium, Ahmedabad",Delhi Capitals,Gujarat Titans,Delhi Capitals,bat,Delhi Capitals,runs,5,131,20,N,NA,MA Gough,R Pandit
1359519,2023,Lucknow,03-05-2023,League,NA,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Lucknow Super Giants,Chennai Super Kings,Chennai Super Kings,field,NA,no result,NA,NA,NA,N,NA,AK Chaudhary,NA Patwardhan
1359520,2023,Chandigarh,03-05-2023,League,Ishan Kishan,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",Punjab Kings,Mumbai Indians,Mumbai Indians,field,Mumbai Indians,wickets,6,215,20,N,NA,J Madanagopal,RJ Tucker
1359521,2023,Hyderabad,04-05-2023,League,CV Varun,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Kolkata Knight Riders,Sunrisers Hyderabad,Kolkata Knight Riders,bat,Kolkata Knight Riders,runs,5,172,20,N,NA,KN Ananthapadmanabhan,MA Gough
1359522,2023,Jaipur,05-05-2023,League,Rashid Khan,"Sawai Mansingh Stadium, Jaipur",Rajasthan Royals,Gujarat Titans,Rajasthan Royals,bat,Gujarat Titans,wickets,9,119,20,N,NA,HAS Khalid,VK Sharma
1359523,2023,Chennai,06-05-2023,League,M Pathirana,"MA Chidambaram Stadium, Chepauk, Chennai",Mumbai Indians,Chennai Super Kings,Chennai Super Kings,field,Chennai Super Kings,wickets,6,140,20,N,NA,BNJ Oxenford,Navdeep Singh
1359524,2023,Delhi,06-05-2023,League,PD Salt,"Arun Jaitley Stadium, Delhi",Royal Challengers Bangalore,Delhi Capitals,Royal Challengers Bangalore,bat,Delhi Capitals,wickets,7,182,20,N,NA,RJ Tucker,YC Barde
1359525,2023,Ahmedabad,07-05-2023,League,Shubman Gill,"Narendra Modi Stadium, Ahmedabad",Gujarat Titans,Lucknow Super Giants,Lucknow Super Giants,field,Gujarat Titans,runs,56,228,20,N,NA,AK Chaudhary,A Nand Kishore
1359526,2023,Jaipur,07-05-2023,League,GD Phillips,"Sawai Mansingh Stadium, Jaipur",Rajasthan Royals,Sunrisers Hyderabad,Rajasthan Royals,bat,Sunrisers Hyderabad,wickets,4,215,20,N,NA,Nitin Menon,Vinod Seshan
